sequence_id	protein_id	gene_start	gene_end	gene_strand	pfam_id	deepbgc_score	in_cluster
U00096.3	U00096.3_1	336	2799	1	PF00696	0.04617	0
U00096.3	U00096.3_1	336	2799	1	PF01842	0.04718	0
U00096.3	U00096.3_1	336	2799	1	PF13840	0.04367	0
U00096.3	U00096.3_1	336	2799	1	PF03447	0.04146	0
U00096.3	U00096.3_1	336	2799	1	PF00742	0.0426	0
U00096.3	U00096.3_2	2800	3733	1	PF00288	0.05467	0
U00096.3	U00096.3_2	2800	3733	1	PF08544	0.05682	0
U00096.3	U00096.3_3	3733	5020	1	PF14821	0.03672	0
U00096.3	U00096.3_3	3733	5020	1	PF00291	0.04148	0
U00096.3	U00096.3_4	5233	5530	1	PF10697	0.04316	0
U00096.3	U00096.3_5	5682	6459	-1	PF03883	0.04681	0
U00096.3	U00096.3_6	6528	7959	-1	PF02990	0.02683	0
U00096.3	U00096.3_6	6528	7959	-1	PF01235	0.02151	0
U00096.3	U00096.3_7	8237	9191	1	PF00923	0.02123	0
U00096.3	U00096.3_8	9305	9893	1	PF00994	0.02663	0
U00096.3	U00096.3_9	9927	10494	-1	PF01184	0.02509	0
U00096.3	U00096.3_10	10642	11356	-1	PF03981	0.01144	0
U00096.3	U00096.3_10	10642	11356	-1	PF13099	0.00933	0
U00096.3	U00096.3_11	11381	11786	-1	PF10807	0.01346	0
U00096.3	U00096.3_12	12162	14079	1	PF00012	0.00394	0
U00096.3	U00096.3_12	12162	14079	1	PF06723	0.0025	0
U00096.3	U00096.3_12	12162	14079	1	PF02782	0.00334	0
U00096.3	U00096.3_13	14167	15298	1	PF00226	0.00199	0
U00096.3	U00096.3_13	14167	15298	1	PF01556	0.00152	0
U00096.3	U00096.3_13	14167	15298	1	PF14522	0.00164	0
U00096.3	U00096.3_13	14167	15298	1	PF15777	0.00123	0
U00096.3	U00096.3_13	14167	15298	1	PF00684	0.00181	0
U00096.3	U00096.3_14	15444	16557	1	PF01609	0.00719	0
U00096.3	U00096.3_16	16750	16960	-1	PF01848	0.00658	0
U00096.3	U00096.3_17	17488	18655	1	PF06965	0.00644	0
U00096.3	U00096.3_18	18720	19620	1	PF00126	0.00524	0
U00096.3	U00096.3_18	18720	19620	1	PF03466	0.00417	0
U00096.3	U00096.3_19	19810	20188	-1	PF03400	0.00355	0
U00096.3	U00096.3_20	20232	20508	-1	PF12759	0.0022	0
U00096.3	U00096.3_20	20232	20508	-1	PF04216	0.00177	0
U00096.3	U00096.3_20	20232	20508	-1	PF03811	0.00193	0
U00096.3	U00096.3_21	20814	21078	-1	PF01649	0.00146	0
U00096.3	U00096.3_22	21406	22348	1	PF06574	0.00107	0
U00096.3	U00096.3_22	21406	22348	1	PF01687	0.00088	0
U00096.3	U00096.3_23	22390	25207	1	PF00133	0.00061	0
U00096.3	U00096.3_23	22390	25207	1	PF09334	0.0004	0
U00096.3	U00096.3_23	22390	25207	1	PF13603	0.00032	0
U00096.3	U00096.3_23	22390	25207	1	PF01921	0.00033	0
U00096.3	U00096.3_23	22390	25207	1	PF01406	0.00041	0
U00096.3	U00096.3_23	22390	25207	1	PF08264	0.00054	0
U00096.3	U00096.3_23	22390	25207	1	PF06827	0.00121	0
U00096.3	U00096.3_24	25206	25701	1	PF01252	0.0019	0
