sequence_id	protein_id	start	end	strand	domain	hmm	i_evalue	pvalue	domain_start	domain_end	cluster_probability
NC_000913.3	NC_000913.3_1	337	2799	+	PF00696	Pfam	1.0436597534740867e-46	3.773173367585274e-50	2	284	0.000010714316432548242
NC_000913.3	NC_000913.3_1	337	2799	+	PF01842	Pfam	1.117034208148783e-8	4.038446161058507e-12	324	376	0.000010714316432548242
NC_000913.3	NC_000913.3_1	337	2799	+	PF01842	Pfam	2.288316548199587e-7	8.273017166303641e-11	404	447	0.000010714316432548242
NC_000913.3	NC_000913.3_1	337	2799	+	PF03447	Pfam	2.446653129763255e-34	8.84545600059022e-38	472	605	0.000010714316432548242
NC_000913.3	NC_000913.3_1	337	2799	+	PF00742	Pfam	3.6969729719291784e-49	1.3365773578919661e-52	614	811	0.000010714316432548242
NC_000913.3	NC_000913.3_2	2801	3733	+	PF00288	Pfam	1.2646391185759511e-14	4.5720864735211536e-18	85	150	0.0025512955703377504
NC_000913.3	NC_000913.3_3	3734	5020	+	PF14821	Pfam	2.540486167724129e-14	9.184693303413337e-18	8	80	0.00030126621159661784
NC_000913.3	NC_000913.3_3	3734	5020	+	PF00291	Pfam	6.526567915368464e-25	2.359569022186719e-28	99	369	0.00030126621159661784
NC_000913.3	NC_000913.3_5	5683	6459	-	PF03883	Pfam	2.1341602426037088e-92	7.715691404930256e-96	1	243	0.00001993249127294766
NC_000913.3	NC_000913.3_6	6529	7959	-	PF01235	Pfam	1.276805943618075e-143	4.616073548872289e-147	52	453	0.0007996339430602113
NC_000913.3	NC_000913.3_7	8238	9191	+	PF00923	Pfam	2.324099721338582e-104	8.402385109683955e-108	14	313	0.003476259117268742
NC_000913.3	NC_000913.3_8	9306	9893	+	PF00994	Pfam	1.7431559785547966e-28	6.302082351969619e-32	8	147	0.0023830625922738654
NC_000913.3	NC_000913.3_12	12163	14079	+	PF00012	Pfam	4.6505712957469054e-272	1.681334524854268e-275	4	602	0.00222763301143893
NC_000913.3	NC_000913.3_12	12163	14079	+	PF06723	Pfam	2.1116489951740835e-13	7.634305839385696e-17	116	376	0.00222763301143893
NC_000913.3	NC_000913.3_13	14168	15298	+	PF00226	Pfam	2.2173672705386687e-29	8.016512185606178e-33	5	67	0.000039488003565136656
NC_000913.3	NC_000913.3_13	14168	15298	+	PF01556	Pfam	2.5213749257616078e-49	9.115599876216948e-53	117	330	0.000039488003565136656
